id,transaction_no,transaction_date,doc_ref_no,effectivity_date,employee_id,basic_income,housing_allowances,car_allowances,petrol_allowances,food_allowances,others,incentive,mobile_allowances,total_gross_pay,remarks,hr_remarks,mngt_remarks,hr_approved_by,mngt_approved_by,status_id,created_on,created_by,updated_on,updated_by
186,,2002-06-01,,2002-06-01,29,1200,300,0,250,0,300,0,0,2050,,,,,,5,,,2020-02-23 19:47:58,17
187,,2002-06-01,,2002-06-01,33,900,300,0,0,0,600,0,0,1800,,,,,,5,,,2020-02-23 19:47:58,17
188,,2002-06-01,,2002-06-01,27,900,0,0,0,0,300,0,0,1200,,,,,,5,,,2020-02-23 19:47:58,17
189,,2002-06-01,,2002-06-01,20,2500,800,500,0,0,1000,0,0,4800,,,,,,5,,,2020-02-23 19:47:58,17
190,,2002-03-01,,2002-03-01,26,2008,600,300,0,365,727,0,0,4000,,,,,,5,,,2020-02-23 19:47:58,17
191,,2002-06-01,,2002-06-01,25,1643,300,0,0,365,142,0,0,2450,,,,,,5,,,2020-02-23 19:47:58,17
192,,2002-06-01,,2002-06-01,16,2400,300,0,0,365,835,0,0,3900,,,,,,5,,,2020-02-23 19:47:58,17
193,,2002-10-27,,2002-10-27,37,2000,300,0,0,0,0,0,0,2300,,,,,,5,,,2020-02-23 19:47:58,17
194,,2003-01-21,,2003-01-21,38,700,0,0,0,0,300,0,0,1000,,,,,,5,,,2020-02-23 19:47:58,17
195,,2003-01-21,,2003-01-21,39,900,0,0,0,0,300,0,0,1200,,,,,,5,,,2020-02-23 19:47:58,17
196,,2003-04-01,,2003-04-01,33,900,300,0,250,0,600,0,0,2050,,,,,,5,,,2020-02-23 19:47:58,17
197,,2003-04-07,,2003-04-07,25,1643,0,0,0,365,142,0,0,2150,,,,,,5,,,2020-02-23 19:47:58,17
198,,2003-05-04,,2003-05-04,40,900,300,0,0,0,0,0,0,1200,,,,,,5,,,2020-02-23 19:47:58,17
199,,2003-05-16,,2003-05-16,41,1916,0,0,0,365,0,0,0,2281,,,,,,5,,,2020-02-23 19:47:58,17
200,,2003-07-01,,2003-07-01,19,2500,300,300,200,365,135,0,0,3800,,,,,,5,,,2020-02-23 19:47:58,17
201,,2003-10-01,,2003-10-01,35,1643,300,0,0,365,0,0,0,2308,,,,,,5,,,2020-02-23 19:47:58,17
202,,2003-01-01,,2003-01-01,37,2000,600,0,0,0,200,0,0,2800,,,,,,5,,,2020-02-23 19:47:58,17
203,,2003-11-01,,2003-11-01,20,3000,1250,500,0,0,750,0,0,5500,,,,,,5,,,2020-02-23 19:47:58,17
204,,2003-11-01,,2003-11-01,22,3500,1250,500,0,0,250,0,0,5500,,,,,,5,,,2020-02-23 19:47:58,17
205,,2003-11-01,,2003-11-01,17,3000,0,0,0,365,1435,0,0,4800,,,,,,5,,,2020-02-23 19:47:58,17
